T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9962500    0.029943750     0.25085937   0.0037437500     0.99875000
      1.0000000     -1.9962791    0.029712061     0.25666667   0.0037147768     0.99875969
      1.0000000     -1.9963077    0.029483929     0.26238462   0.0036862485     0.99876923
      1.0000000     -1.9963359    0.029259274     0.26801527   0.0036581551     0.99877863
      1.0000000     -1.9963636    0.029038017     0.27356061   0.0036304867     0.99878788
      1.0000000     -1.9963910    0.028820080     0.27902256   0.0036032336     0.99879699
      1.0000000     -1.9958209    0.033362976     0.28417910   0.0038733794     0.99865672
      1.0000000     -1.9958519    0.033116357     0.28948148   0.0038447407     0.99866667
      1.0000000     -1.9958824    0.032873356     0.29470588   0.0038165225     0.99867647
      1.0000000     -1.9959124    0.032633896     0.29985401   0.0037887154     0.99868613
      1.0000000     -1.9959420    0.032397900     0.30492754   0.0037613106     0.99869565
      1.0000000     -1.9959712    0.032165292     0.30992806   0.0037342995     0.99870504
      1.0000000     -1.9960000    0.031936000     0.31485714   0.0037076735     0.99871429
      1.0000000     -1.9960284    0.031709954     0.31971631   0.0036814245     0.99872340
      1.0000000     -1.9960563    0.031487086     0.32450704   0.0036555445     0.99873239
      1.0000000     -1.9960839    0.031267328     0.32923077   0.0036300259     0.99874126
      1.0000000     -1.9961111    0.031050617     0.33388889   0.0036048611     0.99875000
      1.0000000     -1.9961379    0.030836889     0.33848276   0.0035800428     0.99875862
      1.0000000     -1.9961644    0.030626084     0.34301370   0.0035555639     0.99876712
      1.0000000     -1.9961905    0.030418141     0.34748299   0.0035314175     0.99877551
      1.0000000     -1.9962162    0.030213002     0.35189189   0.0035075968     0.99878378
      1.0000000     -1.9961074    0.031080330     0.35567114   0.0035508806     0.99875839
      1.0000000     -1.9961333    0.030873529     0.34663333   0.0035272489     0.99876667
      1.0000000     -1.9961589    0.030669462     0.33771523   0.0035039297     0.99877483
      1.0000000     -1.9959211    0.032565028     0.33378289   0.0036118378     0.99871711
      1.0000000     -1.9959477    0.032352617     0.33813725   0.0035882737     0.99872549
      1.0000000     -1.9959740    0.032142958     0.34243506   0.0035650152     0.99873377
      1.0000000     -1.9960000    0.031936000     0.34667742   0.0035420562     0.99874194
      1.0000000     -1.9960256    0.031731690     0.35086538   0.0035193910     0.99875000
      1.0000000     -1.9960510    0.031529977     0.35500000   0.0034970141     0.99875796
      1.0000000     -1.9960759    0.031330812     0.35908228   0.0034749199     0.99876582
      1.0000000     -1.9961006    0.031134148     0.36311321   0.0034531031     0.99877358
      1.0000000     -1.9961250    0.030939937     0.36709375   0.0034315586     0.99878125
      1.0000000     -1.9961491    0.030748135     0.37102484   0.0034102812     0.99878882
      1.0000000     -1.9961728    0.030558695     0.37490741   0.0033892661     0.99879630
      1.0000000     -1.9961963    0.030371576     0.37874233   0.0033685084     0.99880368
      1.0000000     -1.9962195    0.030186734     0.38253049   0.0033480034     0.99881098
      1.0000000     -1.9962424    0.030004129     0.38627273   0.0033277466     0.99881818
      1.0000000     -1.9962651    0.029823719     0.38996988   0.0033077333     0.99882530
      1.0000000     -1.9962874    0.029645466     0.39362275   0.0032879594     0.99883234
      1.0000000     -1.9963095    0.029469331     0.39723214   0.0032684205     0.99883929
      1.0000000     -1.9963314    0.029295277     0.40079882   0.0032491124     0.99884615
      1.0000000     -1.9963529    0.029123266     0.40432353   0.0032300311     0.99885294
      1.0000000     -1.9963743    0.028953264     0.40780702   0.0032111727     0.99885965
      1.0000000     -1.9963953    0.028785235     0.41125000   0.0031925331     0.99886628
      1.0000000     -1.9964162    0.028619145     0.41465318   0.0031741087     0.99887283
      1.0000000     -1.9964368    0.028454961     0.41801724   0.0031558958     0.99887931
      1.0000000     -1.9964571    0.028292650     0.42134286   0.0031378906     0.99888571
      1.0000000     -1.9964773    0.028132180     0.42463068   0.0031200897     0.99889205
      1.0000000     -1.9964972    0.027973520     0.42788136   0.0031024897     0.99889831
      1.0000000     -1.9965169    0.027816639     0.43109551   0.0030850871     0.99890449
      1.0000000     -1.9965363    0.027661509     0.43427374   0.0030678787     0.99891061
      1.0000000     -1.9965556    0.027508099     0.43741667   0.0030508611     0.99891667
      1.0000000     -1.9965746    0.027356381     0.44052486   0.0030340313     0.99892265
      1.0000000     -1.9965934    0.027206328     0.44359890   0.0030173862     0.99892857
      1.0000000     -1.9966120    0.027057912     0.44663934   0.0030009227     0.99893443
      1.0000000     -1.9966304    0.026911106     0.44964674   0.0029846379     0.99894022
      1.0000000     -1.9966486    0.026765885     0.45262162   0.0029685289     0.99894595
      1.0000000     -1.9966667    0.026622222     0.45556452   0.0029525928     0.99895161
      1.0000000     -1.9966845    0.026480094     0.45847594   0.0029368269     0.99895722
      1.0000000     -1.9967021    0.026339475     0.46135638   0.0029212285     0.99896277
      1.0000000     -1.9967196    0.026200342     0.46420635   0.0029057949     0.99896825
      1.0000000     -1.9967368    0.026062670     0.46702632   0.0028905235     0.99897368
      1.0000000     -1.9967539    0.025926438     0.46981675   0.0028754119     0.99897906
      1.0000000     -1.9967708    0.025791623     0.47257813   0.0028604574     0.99898438
      1.0000000     -1.9967876    0.025658203     0.47531088   0.0028456576     0.99898964
      1.0000000     -1.9967010    0.026348220     0.47798969   0.0028823467     0.99896907
      1.0000000     -1.9967179    0.026213323     0.48066667   0.0028675871     0.99897436
      1.0000000     -1.9967347    0.026079800     0.48331633   0.0028529779     0.99897959
      1.0000000     -1.9967513    0.025947631     0.48593909   0.0028385168     0.99898477
      1.0000000     -1.9967677    0.025816794     0.48853535   0.0028242016     0.99898990
      1.0000000     -1.9967839    0.025687271     0.49110553   0.0028100300     0.99899497
      1.0000000     -1.9968000    0.025559040     0.49365000   0.0027960000     0.99900000
      1.0000000     -1.9968159    0.025432083     0.49616915   0.0027821094     0.99900498
      1.0000000     -1.9968317    0.025306382     0.49866337   0.0027683560     0.99900990
      1.0000000     -1.9968473    0.025181917     0.50113300   0.0027547380     0.99901478
      1.0000000     -1.9968627    0.025058670     0.50357843   0.0027412534     0.99901961
      1.0000000     -1.9967805    0.025714637     0.50595122   0.0029226318     0.99897561
      1.0000000     -1.9967961    0.025590008     0.50834951   0.0029084645     0.99898058
      1.0000000     -1.9968116    0.025466583     0.51072464   0.0028944339     0.99898551
      1.0000000     -1.9968269    0.025344342     0.51307692   0.0028805381     0.99899038
      1.0000000     -1.9968421    0.025223269     0.51540670   0.0028667750     0.99899522
      1.0000000     -1.9968571    0.025103347     0.51771429   0.0028531429     0.99900000
      1.0000000     -1.9968720    0.024984560     0.52000000   0.0028396397     0.99900474
      1.0000000     -1.9968868    0.024866892     0.52226415   0.0028262638     0.99900943
      1.0000000     -1.9969014    0.024750327     0.52450704   0.0028130133     0.99901408
      1.0000000     -1.9969159    0.024634850     0.52672897   0.0027998865     0.99901869
      1.0000000     -1.9965581    0.027487498     0.52876744   0.0031115003     0.99890698
      1.0000000     -1.9965741    0.027360460     0.53094907   0.0030971172     0.99891204
      1.0000000     -1.9965899    0.027234590     0.53311060   0.0030828665     0.99891705
      1.0000000     -1.9966055    0.027109873     0.53525229   0.0030687463     0.99892202
      1.0000000     -1.9966210    0.026986293     0.53737443   0.0030547549     0.99892694
