T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9962902    0.029623705   -0.091603627   0.0038537365     0.99873834
      1.0000000     -1.9963093    0.029471287   -0.085976804   0.0038339045     0.99874485
      1.0000000     -1.9962974    0.029565677   -0.084379487   0.0038295832     0.99874359
      1.0000000     -1.9963163    0.029415110   -0.089051020   0.0038100765     0.99875000
      1.0000000     -1.9963147    0.029427908   -0.092598985   0.0038312753     0.99874619
      1.0000000     -1.9963333    0.029279556   -0.087080808   0.0038119570     0.99875253
      1.0000000     -1.9963518    0.029132691   -0.081618090   0.0037928326     0.99875879
      1.0000000     -1.9963700    0.028987292   -0.076210000   0.0037738991     0.99876500
      1.0000000     -1.9963781    0.028922652   -0.073703980   0.0037601043     0.99876866
      1.0000000     -1.9963168    0.029411084   -0.078254950   0.0038402351     0.99874505
      1.0000000     -1.9963054    0.029502051   -0.082785714   0.0038508064     0.99874138
      1.0000000     -1.9963235    0.029357699   -0.087281863   0.0038319608     0.99874755
      1.0000000     -1.9963024    0.029525800   -0.085234146   0.0038473229     0.99874146
      1.0000000     -1.9963107    0.029460119   -0.079968447   0.0038335072     0.99874515
      1.0000000     -1.9963285    0.029318061   -0.074751208   0.0038150181     0.99875121
      1.0000000     -1.9963462    0.029177367   -0.069584135   0.0037967065     0.99875721
      1.0000000     -1.9963541    0.029114293   -0.064468900   0.0037833309     0.99876077
      1.0000000     -1.9963524    0.029127732   -0.059514286   0.0038033450     0.99875714
      1.0000000     -1.9963602    0.029065491   -0.063950237   0.0037900647     0.99876066
      1.0000000     -1.9963774    0.028928638   -0.058931604   0.0037722159     0.99876651
      1.0000000     -1.9963568    0.029092449   -0.061990610   0.0037872824     0.99876056
      1.0000000     -1.9963645    0.029031244   -0.066371495   0.0037742632     0.99876402
      1.0000000     -1.9963721    0.028970609   -0.062958140   0.0037613651     0.99876744
      1.0000000     -1.9963704    0.028984340   -0.058041667   0.0037531931     0.99876852
      1.0000000     -1.9963871    0.028851014   -0.053165899   0.0037359251     0.99877419
      1.0000000     -1.9964037    0.028718908   -0.048334862   0.0037188153     0.99877982
      1.0000000     -1.9964201    0.028588006   -0.043547945   0.0037018614     0.99878539
      1.0000000     -1.9964091    0.028675694   -0.038811364   0.0036986317     0.99878409
      1.0000000     -1.9964253    0.028546172   -0.034110860   0.0036819225     0.99878959
      1.0000000     -1.9963423    0.029207747   -0.029495495   0.0037686369     0.99876126
      1.0000000     -1.9963408    0.029219984   -0.033437220   0.0037741195     0.99876009
      1.0000000     -1.9963304    0.029303278   -0.034629464   0.0037706247     0.99875893
      1.0000000     -1.9962933    0.029598376   -0.036897778   0.0037804278     0.99875111
      1.0000000     -1.9963009    0.029538187   -0.038488938   0.0037681305     0.99875442
      1.0000000     -1.9962819    0.029689197   -0.034094714   0.0037690914     0.99875110
      1.0000000     -1.9962719    0.029768967   -0.036673246   0.0037788158     0.99874781
      1.0000000     -1.9962707    0.029778432   -0.039286026   0.0037710317     0.99874891
      1.0000000     -1.9962870    0.029649201   -0.034767391   0.0037546630     0.99875435
